Produkt; Etage 1 ; Keller
Qing Huo Xie Gan Wan (Gentiana Form), Green Nature, _____;;Room A_J 3
Qing Du Zhi Yang Wan (Calm Skin Form);;Room A_F 1
_____;;
Qing Qi Hua Tan Pian (Phlegm Clear Form), Tab, Green Nature, _____;Box D;Room A_K 3
Qing Qi Hua Tan Wan (Phlegm Form), Pill, Tai Yi, _____;;Room B_G 3 Single Plastic Box
Qing Re Cuo Chuang Wan (Puriface Form), Tai Yi, _____;;Room B_F 2 Box 6
Qingdai Psoriasis Cream, Tai Yi      ;;Room A_E 1 Skin Box
_____;;
Ren Shen Jian Pi Wan (Codon Form), Tai Yi, _____;;Room B_F 2 Box 6
Ren Shen Jiao Nang, (Panax�Ginseng�capsule), Cap, Herbhelp, ____;;Room A_H 2
Ren Shen Jing, Panax Ginseng, Shao Wu;;Room B_E 3
____;;
Ren Shen Zao Zao Wan (New Life Form), Tai Yi, _____;;Room B_F 2 Box 6
Run Chang Wan (Regularity Form), Shao Wu, ___;Box C;Room B_D 1
San Huang Pian (Three Yellow Form), Shao Wu, ___;;Room A_Box D
San Jin Qing Lin Wan (Octo Form), Tai Yi, _____;;Room B_F 2 Box 6
San Jiu Wei Tai Jiao Nang, Tai Yi,;;Room B_F 3 Box 7
______;;
San Qi Shang Yao Pian (Notoginseng Form), Herbhelp, _____;;Room A_H 3
Shan Zha Jiang Zhi Wan (Hawthorn Form), Shao Wu, _____;Box B;Room B_C 3
Sang Ju Gan Mao Pian (Chrysanth Form), Green Nature, _____;;Room A_K 3
Shen Ling Bai Zhu Wan (Dolichos Form), Shao Wu, _____;Box C;Room B_A 2
Shen Qi Da Bu Wan (Double Force Form), Green Nature, _____;;Room A_J 2
Shen Tong Zhu Yu Wan (Blood Stasis Care Form), Tai Yi, _____;;Room B_F 3 Box 7
Sheng Mai Yin Pian (Rhytmic Form), Tai Yi, ____;;Room B_F 2 Single Box
Shi Du Qing Wan (Damp Clear Form), Tai Yi, ____;;Room B_F 3 Box 7
Shi Quan Da Bu Wan (Ten Complete Form), Shao Wu, _____;Box C;Room B_A 3
Shou Wu Wan (Polygoni Form), Herbhelp, ___;;Room A_H 2
Shu Gan Wan (Liver Form), Shao Wu, ___;Box B;Room B_C 2
Shu Gan Wan (Soothing Form), Green Nature;;Room A_F 1
___, ____;;
Shu Jin Huo Luo Wan (Merilex Form), Tai Yi, _____;;Room B_F 3 Single Box 
Shuang Huang Jiang Tang Pian (Glukomins Form), Green Nature;;Room A_K 3
_____;;
Shuang Huang Lian Kou Fu Ye (Heat Clear Oral Liquid), Green Nature;;Room A_J 3
______;;
Shuang Qing He Ji, Shao Wu,  ____;;Room B_A 4
Shun Qi Wan, Herbhelp, ;;Room A_H 2
(__)___;;
Si Jun Zi Wan (Four Nobles Form), Shao Wu, ____;Box B;Room A_Box B
Si Miao Wan (Four Mavel Form), Herbhelp, ___;;Room A_H 2
Si Ni San Wan (Angel Form), Herbhelp, ;;Room A_H Top
____;;
;;
Si Wu Tang Wan (Angel Four Form) , Shao Wu, ____;Box B;Room B_A 3
Suan Zao Ren Tang Wan (Zizyphus Form), Shao Wu, _____;Box B;Room B_A 2
Tai Ju, Chrysanthemum Bud, Chrysanthemenknospen ;;Room B_H 2
__ NBH;;
Tai Zi Shen (Pseudostellariae Radix), Shao Wu, ___;;Room B_E 1
Tao Hong Si Wu Wan (Peach Form);Box D;Room A_J 2
_____;;
Te Xiao Bi Min Gan Wan (Allergy Season Form_;Box B;Room A_Box A
______;;
Te Xiao Jing Zhui Tong Wan (Vertebra Cervical Form), Herbhelp, ______;;Room A_H 3
Tian Wang Bu Xin Wan (Cardiotonic Form), Green Nature, __________;Box D;Room A_G2
Tian Wang Bu Xin Wan (Cardiotonic Form), Shao Wu, _____ , __;Box B;Room B_C 2
Tong Jing Wan (Meralgia Form);Box C;Room B_D 2
___;;
Tong Qiao Huo Xue Wan (Activating Blood Form);;Room B _ Box 2
_____;;
Tong Xuan Li Fei Wan (Lung Clear Form) ;;Room A_H 3
_____;;
Wan Dai Tang Wan, Herbhelp, ____;;Room A_H 3
Wei Te Ling Pian (Stomfort Form ), Tai Yi, ___;;Room B_G 3 Box 8
Wen Dan Tang Wan (Bambus Form), Herbhelp, ____;;Room A_E 1
Wen Jing Tang Wan (Lunar Warmth Form), Tai Yi, ____;;Room B_G 3 Box 8
Wu Ji Bai Feng Wan (White Phoenix Form) ;Box B;Room B_D 2
_____;;
Wu Ling San Pian (Five Porya Form) ____    ;;Room B_F 1 Box 11
Wu Wei Xiao Du Wan (Inflammation Form), Tai Yi, _____;;Room B_F 3 Box 9
Wu Zhu Yu Wan, Herbhelp, ____;;Room A_E 1
Wu Zi Yan Zong Wan (Progeny Form), Tai Yi, _____;;Room B_G3
Guilin Watermelon Frost�_Xi Gua Shuang_;;Room A_H 5 Plastic Box
_____;;
Xiang Sha Liu Jun Wan (Six Gentle Form), Green Nature, _____;Box D;Room A_G 1
*order from Amazon only GN ;;
Xiang Sha Liu Jun Zi Wan (Six Gentle Form), Herbhelp, ______;;Room A_H 3
*eBay + Shop Order;;
Xiang Sha Yang Wei Wan (Cypermon Form), Shao Wu, _____ ;Box B;Room A_Box D
Xiao Chai Hu Tang Wan (Minor B Form), Shao Wu, _____, __;Box C;Room B_C 3
Xiao Chai Hu Tang Wan (Minor B Form), Green Nature, _____, ____; Box D;Room A_ G 3
Xiao Huo Luo Wan (Flex Form), Herbhelp, ____;;Room A_H 3
Xiao Feng San Wan (Lay Wind Form), Pills, Herbhelp, ____;;Room A_H 3
Xiao Feng San (Lay Wind Form) Capsules, Tai Yi, _____;;Room B_F 3 Box 9
Xiao Jian Zhong Tang Wan (Thermal Form), Shao Wu, _____;;Room A_Box C
Xiao Ke Wan (Diabetes Form), Herbhelp, ___;;Room A_H 3
Xiao Pang Mei Pian (Sim-beau Form);;Room A_K 3
____;;
Xiao Qing Long Tang Wan (Minor Blue Dragon Form), Herbhelp, _____;;Room A_H 3
Xiao Yan Li Dan Pian (Coloca Form), Tai Yi, _____;;Room B_F 3 Box 9
;;
Xiao Yao Wan (Ease Form), Pill, Green Nature;Box C;Room B_E 3
___;;
Xiao Yao Pian (Ease Form)  Tab;;Room A_K 3
___, ____;;
Xiao Zhi Jian Fei Wan (Slimming Form), Herbhelp, _____;;Room A_H 3
Xin Yi Hua Wan (Magnolia Form), Herbhelp, ____;;Room A_H 3
Xue Fu Zhu Yu Wan (Free Curdle Form), Shao Wu, _____;Box B;Room B_A 2
Xue Fu Zhu Yu Wan (Destasis  Form), Green Nature;;Room A_F 2
_____;;
Yang Xue An Shen Wan (Restful Form), Shao Wu, _____;Box B;Room B_A 3
Yang Xue Rong Jin Wan (Altrophia Form), Tai Yi, _____;;Room B_F 3 Box 9
Yang Xue Sheng Fa Wan (Hairgrow Form), Tai Yi, _____;;Room B_Box 8 G 3
Yang Yin Jiang Ya Wan (Low Press Form), Shao Wu, _____;Box B;Room A_Box A
Yao Tong Wan (Backease Form), Pill, Herbhelp, ___;;Room A_E 1
Yao Tong Pian (Backease Form), Tab, Tai Yi, ___;;Room B_G 2
Yi Dan Pian (Coloca Form), Herbhelp, ;;Room A_E 2
___;;
Yi Guan Jian Wan (Brew Form), Herbhelp, _____;;Room A_E 2
Yi Qi Cong Ming Pian (Smart Form) _____                ;;Room B_F 1 Box 11
Yin Qiao Jie Du Wan (Silver Form), Shao Wu, _____;Box C;Room A_Box C
You Gui Wan (Right Form), Green Nature, ___ ;Box D;Room A_I 1
Yu Jin Yin Xie Pian (Soria Form);;Room B_K 4
_____;;
Yu Ping Feng San (Jade Screen Form), Shao Wu, ____, __;Box B;Room A_Box D
Yu Ping Feng Wan (Jade Screen Form), Green Nature, _________;Box D;Room A_G 3
Yue Ju Wan (Cyper Form), Herbhelp, ;;Room A_E 2
___;;
Zao Shen Shui Mian Jiao Nang (Sleeping Capsules), Tai Yi, ______;;Room B_G1 Box 10
Zhen Gan Xi Feng Pian (Wind Extinguishing Form), Tai Yi, _____;;Room B_G1 Box 10
Zhen Wu Tang Wan, Herbhelp, ____;;Room A_E 3
Zheng Gu Shui (Right Bone) Herbal Lotion, ___;Box E;Room B_D 3
Zheng Hong Hua You (Red Flower Oil), Shao Wu, ___;Box E;Room B_D 3
Zheng Tian Wan (Central Heaven Form) Green Nature, ___;Box D;Room A_F 1
Zhen Zhu An Chuang Wan (Acne Pearl Form);;Room A_E 3
_____;;
Zhen Zhu Fen Jiao Nang (Pearl Powder Form), Tai Yi, _____;;Room B_G1 Box 10
Zhen Zhu Ming Mu Ye (Bright Eye Drops), Green Nature, _____;;Room A_J 1 (Above)
;;changed
Zhi Bai Di Huang Wan (Eight Form) Green Nature, _____;Box D;Room A_F 3
Zhi Bai Di Huang Wan (Eight Form), Shao Wu, ________;Box D;Room A_Box D
;;
Zhi Gan Cao Tang Wan;;Room B_F1 Box 11
(Liquorice Form) _____ ;;
Zhuang Gu Guan Jie Wan (Osteoflex Form) Green Nature, _____;Box D;Room A_G 1
Zhuang Gu Tie Gao, Shao Wu, ____;;Room A F 4, Plastic Box
Zi Zhui Yu Ping Feng Pian (Echinascreen Form);;Room A _K 4
______;;
Zuo Gu Shen Jing Tong Wan (Sciaticlear Form) ;;Room A_E 3
______;;
Zuo Gui Wan (Left Form), Green Nature;Box D;Room A_I 1
___;;
